City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,aasiaat,68.7098,-52.8699,260.4,94,81,1.48,GL,1715317931
277,besni,37.6928,37.8611,290.76,41,47,2.83,TR,1715317932
278,taber,49.8167,-112.1518,284.63,81,8,4.12,CA,1715317932
279,howrah,22.5892,88.3103,301.15,74,75,2.06,IN,1715317932
280,harper,4.375,-7.7169,300.33,84,90,2.19,LR,1715317933
281,cill airne,52.05,-9.5167,282.06,93,94,2.3,IE,1715317933
282,anori,-3.7728,-61.6442,298.81,83,97,0.98,BR,1715317933
283,nogliki,51.8333,143.1667,277.23,96,100,3.58,RU,1715317934
284,aur,8.1499,171.1687,301.22,82,99,7.3,MH,1715317934
285,fortaleza,-3.7227,-38.5247,302.22,89,75,4.63,BR,1715317934
286,tezu,27.9167,96.1667,304.22,32,100,2.06,IN,1715317935
287,belabo,4.9333,13.3,294.54,100,90,0.81,CM,1715317935
288,east london,-33.0153,27.9116,292.28,81,21,2.07,ZA,1715317760
289,sao pedro do sul,-29.6206,-54.1789,285.96,81,100,2.98,BR,1715317936
290,akjoujt,19.6969,-14.4164,302.13,14,74,5.03,MR,1715317937
291,angaur state,6.906,134.13,300.71,83,98,3.54,PW,1715317937
292,kolonia,50.9333,6.95,284.8,90,0,0.51,DE,1715317938
293,carnarvon,-24.8667,113.6333,300.44,47,24,3.0,AU,1715317938
294,porto novo,6.4965,2.6036,303.05,82,100,2.31,BJ,1715317938
295,kutoarjo,-7.7169,109.9128,304.94,62,22,3.75,ID,1715317939
296,oravita,45.0325,21.6894,286.53,82,100,0.91,RO,1715317939
297,gulf shores,30.246,-87.7008,300.69,78,75,5.14,US,1715317940
298,newcastle,-32.9272,151.7765,294.16,71,75,4.63,AU,1715317940
299,uruacu,-14.5247,-49.1408,291.26,65,3,1.66,BR,1715317940
300,port lincoln,-34.7333,135.8667,289.89,66,0,4.57,AU,1715317940
301,kapuskasing,49.4169,-82.4331,276.2,75,0,1.03,CA,1715317941
302,la ronge,55.1001,-105.2842,285.29,35,20,2.57,CA,1715317941
303,chandler,33.3062,-111.8412,298.97,17,0,2.06,US,1715317682
304,lethem,3.3803,-59.7968,297.62,95,100,3.26,GY,1715317913
305,tsiombe,-25.3,45.4833,295.58,68,0,2.78,MG,1715317942
306,callao,-12.0667,-77.15,293.55,82,0,3.09,PE,1715317847
307,scottburgh,-30.2867,30.7532,293.86,42,0,2.76,ZA,1715317943
308,wewak,-3.5534,143.6268,300.7,85,44,1.98,PG,1715317943
309,mikuni,36.2171,136.1519,292.44,48,9,3.83,JP,1715317943
310,mount pearl,47.5166,-52.7813,275.55,94,75,1.03,CA,1715317944
